Ajuntament de Barcelona;2019;SUBVENCIONS NOMINATIVES;POSADA EN MARXA DEL PROJECTE SOCIAL BICIHUB;1200000
Institut Municipal Barcelona Esports;2017;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2017 2018 1r pagament;0
Institut de Cultura de Barcelona;2019;Convocatoria de Projectes Puntuals 2019;Trobada Gamedev;12750
Ajuntament de Barcelona;2019;Convocatoria Subvencions Promocio i Reforc Economia Social i Sol;Comuniquem el BiciHub;80000
Institut Municipal Barcelona Esports;2017;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2017 2018 1r pagament;0
Ajuntament de Barcelona;2022;Convocatoria 2022 Impuls socioeconomic del territori IMPULSEM;L estiu Cooperatiu de Sant Marti;400000
Ajuntament de Barcelona;2021;Convocatoria 2021Promocio i Reforc de l Economia Social i Solida;Emfortim el Bicihub;500000
Institut Municipal Barcelona Esports;2021;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2020 2021;457774
Ajuntament de Barcelona;2019;BARCELONA ESCOLES  SOSTENIBLES 2019 2022;Naturalitzacio de l espai d oci i relacio;4000
Ajuntament de Barcelona;2019;BARCELONA ESCOLES SOSTENIBLES 2019 2022;Cuidem l escola cuidem el Mon;18000
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 2n  pagament;5400
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 1r  pagament;16200
Institut Municipal Barcelona Esports;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Convocatoria subv entitats esportives   COVID;250000
Institut Municipal Barcelona Esports;2021;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2020 2021;77963
Ajuntament de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  HORTA GUINARDO;DINAMITZACIO COLLA GEGANTERA DE MONTBAU;12000
Institut Municipal Barcelona Esports;2021;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2020 2021;59401
Institut Municipal Barcelona Esports;2017;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2017 2018 1r pagament;0
Institut Municipal de Serveis Socials;2021;SUBVENCIONS NOMINATIVES;projecte PROGRAMA DENTREGUES SOCIALS 2021;3900000
Institut Municipal de Serveis Socials;2021;SUBVENCIONS NOMINATIVES;projecte Menjador social EMMA per a families;608800
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2019 2020;33750
Ajuntament de Barcelona;2017;SUBVENCIONS DIRECTES amb o sense CONVENI;Subvencio a Save the Children   poble Rohingya;1000000
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2019 2020;5910
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2019 2020;24075
Ajuntament de Barcelona;2020;Convocatoria 2020 Promocio i Reforc de l Economia Social i Solid;Produccio i comercialitzacio de mascaretes higieniques i bates de proteccio;100000
Ajuntament de Barcelona;2020;Convocatoria 2020 Promocio i Reforc de l Economia Social i Solid;index d ocupabilitat: Una oportunitat de creixement millora i consolidacio;761604
Ajuntament de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  HORTA GUINARDO;Una Geganta  Carmela  i els seus cap grossos ;46700
Ajuntament de Barcelona;2017;AJUTS;Ajut del programa Promocio i participacio infancia;52290
Institut de Cultura de Barcelona;2021;Convocatoria de subvencions per a projectes de caracter puntual;Exploradores Sonoros  Musica ciencia y tecnologia para la salud del planet;25000
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2019 2020;2250
Institut Municipal del Paisatge Urba i la Qualitat de Vida;2021;SUBVENCIONS NO TELEMATIQUES;Cobertes Verdes Casp 25;15000
Institut Municipal Barcelona Esports;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2020 2021;10080
Institut Municipal Barcelona Esports;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2019 2020;33750
Institut Municipal Barcelona Esports;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2019 2020;5910
Institut Municipal Barcelona Esports;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2019 2020;24075
Institut Municipal Barcelona Esports;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2019 2020;2250
Ajuntament de Barcelona;2014;SUBVENCIONS CONVOCATORIA;Projecte Anual Escoles Sostenibles 2014 2015;8000
